"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Josh Allen","QB","BUF","12","23.7","22.3","36.5","28.8","14.9","25.3","30.1","25.7","16.4","23.5","40.7","BYE","21.5","16.2","26","22.2","25.1","24.2","410.6"
"2","Jalen Hurts","QB","PHI","12.5","26.2","21.9","24.2","28.3","22.9","24.3","27.4","25.9","BYE","19.9","35.5","23.9","8.9","23.9","24.4","20.2","1.6","21.9","371.8"
"3","Dak Prescott","QB","DAL","6.3","19.6","15.4","14.3","7.3","24.9","BYE","29.1","28.4","38.9","16.2","32.2","28.3","17.9","7.1","18.6","21.3","26.2","20.7","351.8"
"4","Lamar Jackson","QB","BAL","7.6","22.9","28.2","28.1","10.9","18.1","33.9","12","11.5","15","24","15","BYE","32.6","19.5","22.6","36.3","-","21.1","338.2"
"5","Jordan Love","QB","GB","23","20.3","25.3","19.6","8","BYE","16.3","15.6","13.8","18.7","20.9","26.6","23.7","9.9","17.5","24","28.4","18.5","19.4","330.1"
"6","Brock Purdy","QB","SF","16.8","14.7","20.3","21.3","26.1","8.7","14.8","20.3","BYE","23.8","26.7","11.5","29.5","22.4","25.7","6.4","17.6","-","19.2","306.6"
"7","Jared Goff","QB","DET","14","23.9","19","12.4","27.4","22.4","10.4","13.7","BYE","21.1","16.7","18.2","16.3","8.4","31.1","14.3","12.8","20.8","17.8","303.1"
"8","Patrick Mahomes II","QB","KC","20.5","22.2","25.7","15.2","19.2","18.3","34.9","7.6","15.8","BYE","17.9","20.8","14","14.6","17.7","17.7","12","-","18.4","294.2"
"9","Tua Tagovailoa","QB","MIA","28.1","13.3","28.4","15","18.9","22.5","11.3","22.8","12.4","BYE","18.6","9.8","19.2","9.1","13","15.5","16.9","9.6","16.7","284.4"
"10","Baker Mayfield","QB","TB","16","18.4","11","23.9","BYE","7.8","17.2","21.4","19","19.3","11.3","14.4","10.9","20.1","29","19.8","18.3","6.2","16.7","284.1"
"11","C.J. Stroud","QB","HOU","9.7","21.5","20.6","21.8","14.2","15.2","BYE","12.9","41.8","20","18.3","30.9","16.1","3.6","-","-","12.9","20.6","18.7","280"
"12","Sam Howell","QB","SEA","16.2","21.3","4.6","19.6","26.4","18.3","10.5","32","18.7","24.2","20.7","18.3","20.2","-","9.3","0.2","8.7","8.4","16.3","277.5"
"13","Trevor Lawrence","QB","JAC","18.7","9.2","15.4","16.5","15.7","15.7","18.1","15.7","BYE","4.1","32.2","25.6","25.1","20.4","14.7","11.3","-","18.2","17.3","276.5"
"14","Russell Wilson","QB","PIT","15.2","26.9","15.2","22.2","18.7","8.9","13.9","17.6","-","18.7","14.5","16.8","18.8","16.5","17.5","23.5","-","-","17.7","264.9"
"15","Matthew Stafford","QB","LAR","14.5","16","13.5","17.2","16.9","13.2","15","12.4","-","BYE","10.7","24.4","23","23.7","18.5","20.7","14.6","-","16.9","254.1"
"16","Derek Carr","QB","NO","15.6","7.7","8.1","3.2","15.7","17.3","18.4","18.3","16.7","5.4","BYE","11.9","9.9","11.8","20.3","26","15.6","27.2","14.7","249.1"
"17","Justin Herbert","QB","LAC","20.9","22.2","29.3","24.4","BYE","19.1","12.9","24","7.1","29.4","25.7","14.4","8","2.8","-","-","-","-","18.5","240.2"
"18","Justin Fields","QB","PIT","15.5","16.7","11.7","28.9","33","5.9","-","-","-","-","21.2","10.6","-","24.7","11.6","25.5","25.2","8.6","18.4","239.2"
"19","Geno Smith","QB","SEA","9.1","23.1","16.4","8.2","BYE","13","14.8","15.9","3.7","24.1","13.2","8.3","31","-","-","17.3","16.9","20.4","15.7","235.3"
"20","Joshua Dobbs","QB","SF","1","25.2","17.1","23.4","10.7","11.1","16.1","24.9","24.9","25.1","17.9","8.5","-","4.6","-","-","-","-","16.2","210.7"
"21","Gardner Minshew II","QB","LV","0","11.1","13.1","-","6.3","12.6","28.1","15.8","9.6","6.7","-","15.6","18.7","15.1","20.6","10.1","13.3","8.5","12.8","205.2"
"22","Desmond Ridder","QB","ARI","7.9","22.4","6.3","8.2","26.2","19.1","13.8","3.4","-","8.7","-","11.7","8.8","26.4","8.9","-","-0.3","16.6","12.5","188.1"
"23","Bryce Young","QB","CAR","9.5","13.5","-","7.2","20.3","12.7","BYE","14.5","12","9.2","6.2","8.1","8.1","7.5","7.6","22.2","3.7","4.2","10.4","166.4"
"24","Kirk Cousins","QB","ATL","17.5","28.6","26.7","11.6","19.9","8.7","22","19.9","-","-","BYE","-","-","-","-","-","-","-","19.3","154.7"
"25","Joe Burrow","QB","CIN","3.2","16.4","9.2","4.7","24.4","14.8","BYE","27.6","22.3","21.9","8.7","-","-","-","-","-","-","-","15.3","153.2"
"26","Kyler Murray","QB","ARI","-","-","-","-","-","-","-","-","-","18.3","22.7","20.4","11.8","BYE","15.3","20.4","24.7","17.8","18.9","151.4"
"27","Jake Browning","QB","CIN","-0.1","-","-","-","-","-","BYE","-","-","-","10.7","13","25.7","24.7","20","16.4","21.1","19","16.7","150.4"
"28","Aidan O'Connell","QB","LV","-","-","-","10.8","-","-","6","-","8.4","9.4","12.1","13.9","BYE","6","25.9","2.1","20.3","17.9","12.1","132.8"
"29","Zach Wilson","QB","NYJ","9.2","11.4","6.4","19.2","9.6","10.9","BYE","12.1","7.2","14.9","7.7","-","-","19.2","-1","-","-","-","10.6","126.9"
"30","Mac Jones","QB","JAC","25.1","14.7","13.3","2.7","0.4","6.9","20","13.2","12.1","8.3","-","1.6","-","-","-","-","-","-","10.8","118.4"
"31","Kenny Pickett","QB","PHI","11.7","11.3","18.5","4.5","12.4","-","15.2","3.9","10.3","6.6","5.1","11.6","3.1","-","-","-","-","-","9.5","114.2"
"32","Joe Flacco","QB","IND","-","-","-","-","-","-","-","-","-","-","BYE","-","17.2","21.3","19.9","26.8","23.7","-","21.8","108.8"
"33","Will Levis","QB","TEN","-","-","-","-","-","-","BYE","26.6","9.7","7","12.5","7.1","11.5","17.6","15.5","-","-1.4","-","11.8","106"
